# energy grid [eV]     epsr_x  epsr_y  epsr_z
# plasmon frequences [eV]:    10.130689433   10.130689637   10.130687534
    1.346346346   11.750840247   11.750817775   11.750740910
    1.351351351   11.759116160   11.759093687   11.759016811
    1.356356356   11.767437930   11.767415456   11.767338569
    1.361361361   11.775805771   11.775783296   11.775706398
    1.366366366   11.784219901   11.784197425   11.784120516
    1.371371371   11.792680539   11.792658061   11.792581142
    1.376376376   11.801187904   11.801165426   11.801088495
    1.381381381   11.809742221   11.809719741   11.809642800
    1.386386386   11.818343712   11.818321231   11.818244279
    1.391391391   11.826992606   11.826970123   11.826893160
    1.396396396   11.835689129   11.835666646   11.835589671
    1.401401401   11.844433514   11.844411029   11.844334043
    1.406406406   11.853225991   11.853203505   11.853126508
    1.411411411   11.862066796   11.862044309   11.861967301
    1.416416416   11.870956166   11.870933677   11.870856658
    1.421421421   11.879894338   11.879871848   11.879794818
    1.426426426   11.888881555   11.888859064   11.888782022
    1.431431431   11.897918058   11.897895565   11.897818512
    1.436436436   11.907004093   11.906981599   11.906904534
    1.441441441   11.916139907   11.916117412   11.916040335
    1.446446446   11.925325749   11.925303253   11.925226165
    1.451451451   11.934561872   11.934539375   11.934462275
    1.456456456   11.943848529   11.943826030   11.943748918
    1.461461461   11.953185976   11.953163476   11.953086352
    1.466466466   11.962574471   11.962551970   11.962474835
    1.471471471   11.972014276   11.971991774   11.971914626
    1.476476476   11.981505654   11.981483150   11.981405991
    1.481481481   11.991048870   11.991026365   11.990949193
    1.486486486   12.000644191   12.000621685   12.000544501
    1.491491491   12.010291888   12.010269381   12.010192185
    1.496496496   12.019992235   12.019969726   12.019892518
    1.501501502   12.029745505   12.029722995   12.029645774
    1.506506507   12.039551976   12.039529465   12.039452232
    1.511511512   12.049411930   12.049389417   12.049312172
    1.516516517   12.059325648   12.059303134   12.059225876
    1.521521522   12.069293415   12.069270900   12.069193630
    1.526526527   12.079315521   12.079293004   12.079215721
    1.531531532   12.089392254   12.089369736   12.089292440
    1.536536537   12.099523908   12.099501389   12.099424080
    1.541541542   12.109710780   12.109688260   12.109610938
    1.546546547   12.119953167   12.119930646   12.119853311
    1.551551552   12.130251371   12.130228849   12.130151501
    1.556556557   12.140605697   12.140583173   12.140505812
    1.561561562   12.151016450   12.150993925   12.150916551
    1.566566567   12.161483941   12.161461414   12.161384027
    1.571571572   12.172008482   12.171985954   12.171908554
    1.576576577   12.182590389   12.182567860   12.182490446
    1.581581582   12.193229981   12.193207450   12.193130023
    1.586586587   12.203927578   12.203905046   12.203827605
    1.591591592   12.214683505   12.214660971   12.214583517
    1.596596597   12.225498089   12.225475554   12.225398087
    1.601601602   12.236371662   12.236349126   12.236271645
    1.606606607   12.247304556   12.247282019   12.247204524
    1.611611612   12.258297109   12.258274570   12.258197061
    1.616616617   12.269349660   12.269327120   12.269249597
    1.621621622   12.280462553   12.280440011   12.280362475
    1.626626627   12.291636133   12.291613591   12.291536040
    1.631631632   12.302870752   12.302848208   12.302770643
    1.636636637   12.314166761   12.314144215   12.314066637
    1.641641642   12.325524517   12.325501970   12.325424377
    1.646646647   12.336944380   12.336921832   12.336844225
    1.651651652   12.348426714   12.348404164   12.348326543
    1.656656657   12.359971884   12.359949333   12.359871697
    1.661661662   12.371580262   12.371557709   12.371480059
    1.666666667   12.383252220   12.383229667   12.383152002
    1.671671672   12.394988138   12.394965583   12.394887903
    1.676676677   12.406788395   12.406765838   12.406688144
    1.681681682   12.418653376   12.418630819   12.418553109
    1.686686687   12.430583471   12.430560912   12.430483188
    1.691691692   12.442579071   12.442556510   12.442478771
    1.696696697   12.454640572   12.454618011   12.454540257
    1.701701702   12.466768376   12.466745813   12.466668044
    1.706706707   12.478962885   12.478940321   12.478862536
    1.711711712   12.491224508   12.491201942   12.491124143
    1.716716717   12.503553657   12.503531090   12.503453275
    1.721721722   12.515950748   12.515928179   12.515850349
    1.726726727   12.528416200   12.528393631   12.528315785
    1.731731732   12.540950440   12.540927869   12.540850007
    1.736736737   12.553553894   12.553531322   12.553453445
    1.741741742   12.566226997   12.566204423   12.566126530
    1.746746747   12.578970185   12.578947610   12.578869701
    1.751751752   12.591783901   12.591761324   12.591683399
    1.756756757   12.604668589   12.604646011   12.604568070
    1.761761762   12.617624701   12.617602122   12.617524165
    1.766766767   12.630652692   12.630630112   12.630552139
    1.771771772   12.643753022   12.643730440   12.643652451
    1.776776777   12.656926156   12.656903572   12.656825567
    1.781781782   12.670172562   12.670149977   12.670071955
    1.786786787   12.683492714   12.683470128   12.683392089
    1.791791792   12.696887092   12.696864504   12.696786449
    1.796796797   12.710356179   12.710333590   12.710255518
    1.801801802   12.723900463   12.723877873   12.723799785
    1.806806807   12.737520440   12.737497849   12.737419743
    1.811811812   12.751216608   12.751194015   12.751115893
    1.816816817   12.764989471   12.764966876   12.764888737
    1.821821822   12.778839538   12.778816942   12.778738786
    1.826826827   12.792767324   12.792744727   12.792666553
    1.831831832   12.806773350   12.806750751   12.806672560
    1.836836837   12.820858140   12.820835541   12.820757332
    1.841841842   12.835022227   12.834999626   12.834921400
    1.846846847   12.849266147   12.849243544   12.849165300
    1.851851852   12.863590442   12.863567837   12.863489576
    1.856856857   12.877995660   12.877973054   12.877894776
    1.861861862   12.892482356   12.892459749   12.892381452
    1.866866867   12.907051089   12.907028481   12.906950167
    1.871871872   12.921702427   12.921679817   12.921601484
    1.876876877   12.936436940   12.936414329   12.936335978
    1.881881882   12.951255207   12.951232594   12.951154225
    1.886886887   12.966157812   12.966135198   12.966056811
    1.891891892   12.981145347   12.981122732   12.981044326
    1.896896897   12.996218408   12.996195792   12.996117367
    1.901901902   13.011377600   13.011354982   13.011276539
    1.906906907   13.026623533   13.026600913   13.026522452
    1.911911912   13.041956824   13.041934203   13.041855722
    1.916916917   13.057378096   13.057355474   13.057276975
    1.921921922   13.072887982   13.072865359   13.072786840
    1.926926927   13.088487118   13.088464493   13.088385955
    1.931931932   13.104176150   13.104153524   13.104074967
    1.936936937   13.119955729   13.119933102   13.119854525
    1.941941942   13.135826516   13.135803887   13.135725291
    1.946946947   13.151789176   13.151766546   13.151687931
    1.951951952   13.167844385   13.167821754   13.167743118
    1.956956957   13.183992824   13.183970191   13.183891536
    1.961961962   13.200235182   13.200212548   13.200133873
    1.966966967   13.216572158   13.216549523   13.216470827
    1.971971972   13.233004457   13.232981820   13.232903105
    1.976976977   13.249532792   13.249510154   13.249431418
    1.981981982   13.266157885   13.266135245   13.266056489
    1.986986987   13.282880466   13.282857825   13.282779049
    1.991991992   13.299701274   13.299678632   13.299599835
    1.996996997   13.316621055   13.316598412   13.316519594
    2.002002002   13.333640566   13.333617921   13.333539083
    2.007007007   13.350760571   13.350737925   13.350659065
    2.012012012   13.367981843   13.367959196   13.367880315
    2.017017017   13.385305166   13.385282516   13.385203615
    2.022022022   13.402731330   13.402708679   13.402629756
    2.027027027   13.420261137   13.420238485   13.420159541
    2.032032032   13.437895398   13.437872745   13.437793779
    2.037037037   13.455634934   13.455612279   13.455533291
    2.042042042   13.473480574   13.473457918   13.473378908
    2.047047047   13.491433158   13.491410501   13.491331469
    2.052052052   13.509493538   13.509470879   13.509391825
    2.057057057   13.527662572   13.527639913   13.527560837
    2.062062062   13.545941134   13.545918473   13.545839374
    2.067067067   13.564330103   13.564307441   13.564228320
    2.072072072   13.582830373   13.582807709   13.582728566
    2.077077077   13.601442846   13.601420181   13.601341015
    2.082082082   13.620168438   13.620145772   13.620066583
    2.087087087   13.639008074   13.638985406   13.638906194
    2.092092092   13.657962690   13.657940021   13.657860786
    2.097097097   13.677033237   13.677010567   13.676931308
    2.102102102   13.696220674   13.696198002   13.696118720
    2.107107107   13.715525974   13.715503302   13.715423996
    2.112112112   13.734950123   13.734927449   13.734848120
    2.117117117   13.754494118   13.754471442   13.754392089
    2.122122122   13.774158968   13.774136292   13.774056915
    2.127127127   13.793945697   13.793923020   13.793843618
    2.132132132   13.813855341   13.813832662   13.813753237
    2.137137137   13.833888949   13.833866269   13.833786819
    2.142142142   13.854047584   13.854024902   13.853945428
    2.147147147   13.874332322   13.874309639   13.874230140
    2.152152152   13.894744254   13.894721570   13.894642046
    2.157157157   13.915284484   13.915261799   13.915182250
    2.162162162   13.935954132   13.935931446   13.935851871
    2.167167167   13.956754332   13.956731644   13.956652044
    2.172172172   13.977686231   13.977663543   13.977583917
    2.177177177   13.998750995   13.998728306   13.998648654
    2.182182182   14.019949803   14.019927112   14.019847435
    2.187187187   14.041283850   14.041261157   14.041181454
    2.192192192   14.062754346   14.062731653   14.062651923
    2.197197197   14.084362520   14.084339825   14.084260070
    2.202202202   14.106109616   14.106086920   14.106007138
    2.207207207   14.127996894   14.127974197   14.127894388
    2.212212212   14.150025632   14.150002934   14.149923098
    2.217217217   14.172197127   14.172174428   14.172094565
    2.222222222   14.194512692   14.194489992   14.194410101
    2.227227227   14.216973658   14.216950956   14.216871039
    2.232232232   14.239581375   14.239558672   14.239478727
    2.237237237   14.262337211   14.262314507   14.262234534
    2.242242242   14.285242555   14.285219850   14.285139849
    2.247247247   14.308298814   14.308276109   14.308196079
    2.252252252   14.331507416   14.331484709   14.331404651
    2.257257257   14.354869806   14.354847098   14.354767012
    2.262262262   14.378387454   14.378364745   14.378284630
    2.267267267   14.402061849   14.402039138   14.401958994
    2.272272272   14.425894499   14.425871788   14.425791615
    2.277277277   14.449886939   14.449864226   14.449784024
    2.282282282   14.474040720   14.474018007   14.473937775
    2.287287287   14.498357422   14.498334707   14.498254446
    2.292292292   14.522838642   14.522815927   14.522735635
    2.297297297   14.547486005   14.547463289   14.547382967
    2.302302302   14.572301157   14.572278440   14.572198088
    2.307307307   14.597285771   14.597263053   14.597182670
    2.312312312   14.622441542   14.622418823   14.622338409
    2.317317317   14.647770192   14.647747472   14.647667027
    2.322322322   14.673273469   14.673250748   14.673170272
    2.327327327   14.698953147   14.698930425   14.698849918
    2.332332332   14.724811027   14.724788304   14.724707764
    2.337337337   14.750848936   14.750826212   14.750745641
    2.342342342   14.777068731   14.777046007   14.776965403
    2.347347347   14.803472297   14.803449572   14.803368936
    2.352352352   14.830061548   14.830038822   14.829958153
    2.357357357   14.856838427   14.856815700   14.856734999
    2.362362362   14.883804909   14.883782181   14.883701446
    2.367367367   14.910962997   14.910940268   14.910859500
    2.372372372   14.938314728   14.938291998   14.938211197
    2.377377377   14.965862171   14.965839441   14.965758605
    2.382382382   14.993607428   14.993584696   14.993503827
    2.387387387   15.021552632   15.021529900   15.021448996
    2.392392392   15.049699955   15.049677223   15.049596284
    2.397397397   15.078051600   15.078028867   15.077947893
    2.402402402   15.106609808   15.106587074   15.106506065
    2.407407407   15.135376855   15.135354120   15.135273076
    2.412412412   15.164355055   15.164332320   15.164251239
    2.417417417   15.193546761   15.193524025   15.193442909
    2.422422422   15.222954364   15.222931627   15.222850474
    2.427427427   15.252580294   15.252557557   15.252476368
    2.432432432   15.282427024   15.282404286   15.282323060
    2.437437437   15.312497067   15.312474328   15.312393065
    2.442442442   15.342792979   15.342770239   15.342688938
    2.447447447   15.373317358   15.373294618   15.373213279
    2.452452452   15.404072849   15.404050109   15.403968732
    2.457457457   15.435062141   15.435039400   15.434957985
    2.462462462   15.466287970   15.466265228   15.466183774
    2.467467467   15.497753118   15.497730376   15.497648883
    2.472472472   15.529460418   15.529437676   15.529356143
    2.477477477   15.561412751   15.561390009   15.561308436
    2.482482482   15.593613050   15.593590307   15.593508694
    2.487487487   15.626064299   15.626041556   15.625959903
    2.492492492   15.658769537   15.658746793   15.658665099
    2.497497497   15.691731855   15.691709111   15.691627376
    2.502502503   15.724954402   15.724931657   15.724849881
    2.507507508   15.758440383   15.758417639   15.758335820
    2.512512513   15.792193064   15.792170319   15.792088458
    2.517517518   15.826215766   15.826193021   15.826111118
    2.522522523   15.860511877   15.860489132   15.860407186
    2.527527528   15.895084845   15.895062099   15.894980110
